calcium sulfide                    1190          1 -chlorobutane                           1163
calcium sulfite                    1191          4-chloro-m-cresol                         1216
(+/-)-camphor                      1193          chlorodifluoro methane                    1347
"camphor oil                        1194          1 -chloro-2,3-epoxypropane                1307"
e-caprolactam                      1195          chloroethanal                             1204
e-caprolactone                     1196          chloromethane                             1320
carbam ide                         1363          chloroethanol                             1212
carbazole                          1197          chloroethylene                            1696
carbide                            1174          chloroform                                1217
carbolineum                        1198          1 -chloro-4-hydroxy-2-methylbenzene       1216
carbon dioxide                     1423          chloromethane                             1484
carbon disulfide                   1199          chloromethyloxirane                       1307
carbon monoxide                    1424          4-chloro-3-methylphenol                   1216
carbon tetrabromide                1669          1 -chloropentane                          1080
"carbon tetrachloride               1672          chlorophenol (2-, 3- a. 4-)               1218"
carbonic acid diamide              1363          chloropicrin                              1686
"carbonic acid dichloride           1591          3-chloro-1 ,2-propanediol                 1361"
carbonyl dichloride                1591          1 -chloro-2-propanone                     1205
Carbowax                           1604          3-chloropropene                           1033




w w w . S i m t e c h . c o m
7
                    Chemical             Number                       Chemical           Number
chloro sulfonic acid                  1220          croton aldehyde                  1239
chloro sulfuric acid                  1220          crotonic acid                    1241
"chlorotoluene (2-, 3- a. 4-)          1221          crude oil                        1309"
a-chlorotoluene                       1123          cumene                           1242
chlorotrifluoroethylene               1222          cyanamide                        1243
chromatite                            1178          cyanoacetic acid ethyl ester     1244
chromic acid                          1232          cyclohexanamine                  1250
chromium alum                         1226          cyclohexane                      1246
chromium(III) chloride                1227          cyclohexanol                     1247
chromium(III) fluoride                1228          cyclohexanone                    1248
chromium(III) hydroxide               1229          cyclohexene                      1249
chromium(III) nitrate                 1230          cyclohexylamine                  1250
"chromium(III) oxide                   1231          cymene (o-, m- a. p-)            1252"
chromium(III) potassium sulfate       1226          cys                              1253
chromo sulfuric acid                  1233          L-cysteine                       1253
chromo sulfuric acid                  1234          L-cysteine                       1254
chromo sulfuric acid                  1235          DDT                              1255
chromo sulfuric acid                  1236          decahydronaphthalene             1256
chromo sulfuric acid                  1237          decaline                         1256
citric acid                           1238          n-decane                         2185
citric acid triammonium salt          1061          dextran                          1257
citric acid trisodium salt            1528          dextrin                          1258
cod liver oil                         1446          dextrose                         1259
colamine                              1313          diamine                          1371
"condensed water                       1702          1 ,2-diaminoethane               1322"
copper tetramine compounds            1438          dibenzene                        1287
"copper(I) chloride                    1429          dibenzo[b,d]pyrrole              1197"
"copper(II) cyanide                    1434          1 ,2-dibromoethane               1321"
copper(II) acetate arsenate(III)      1431          dibutyl ether                    1260
copper(II) carbonate basic            1432          dibutyl phthalate                1261
copper(II) carbonate hydroxide        1432          dichloroacetic acid              1263
"copper(II) chloride                   1433          dichlorobenzene (o-, m- a. p-)   1262"
"copper(II) fluoride                   1437          1,2- dichloroethane              1264"
"copper(II) hydroxide carbonate        1432          1,1- dichloroethene              1265"
"copper(II) nitrate                    1435          1,1- dichloroethylene            1265"
copper(II) sulfate                    1436          dichlorofluoromethane            1346
creosote                              1426          dichloromethane                  1266
"cresol(o-, m-, a.p-)                  1427          1,2- dichloropropane             1267"
"cresol sulfonic acid                  1428          1,3- dichloropropane             1268"



w w w . S i m t e c h . c o m
8
               Chemical                  Number                     Chemical               Number
"1,2- dichlorotetrafluoroethane            1269          DMP                                1284"
"a,a- dichlorotoluene                      1110          dodecanoic acid                    1442"
Diesel fuels                              1270          dodecanoic acid pentyl ester       1081
diethanolamine                            1271          1-dodecanol                        1444
"1,2-diethoxyethane                        1325          dodecanoyl chloride                1443"
diethylamine                              1272          EDTA                               1323
diethylene glycol                         1273          epichlorohydrin                    1307
"diethyl ether                             1274          1 ,2-epoxypropane                  1610"
diethyl glycol                            1325          ethanal                            1014
diethyl ketone                            1275          ethane                             1311
"diglycol                                  1273          ethane-1,2-diamine                 1322"
"diglycolic acid                           1276          ethane-1 ,2-dicarboxylic acid      1125"
"1,4- dihydroxybenzene                     1373          ethanedioic acid                   1575"
"diisobutyl ketone                         1277          1 ,2-ethanediol                    1324"
diisopropyl ether                         1278          ethane nitrile                     1020
"N,N- dimethylacetamide                    1955          ethanoic acid                      1310"
dimethylamine                             1279          ethanoic anhydride                 1016
"N,N- dimethylaniline                      1280          ethanoic chloride                  1023"
dimethyl benzene(mixture of isomers)      1715          ethanol                            1312
dimethylene oxide                         1326          ethanolamine                       1313
dichlorodifluoromethane                   1345          ethene                             1314
dichlorodiphenyltrichloroethane           1255          ether                              1274
dimethylformam ide                        1282          ethinylcarbinol                    1607
"N, N-dimethylformamide                    1282          ethyl acetate                      1317"
"2,6-dimethyl-4-heptanone                  1277          ethyl acrylate                     1318"
"1,1 -dimethyl hydrazine                   1283          ethyl alcohol                      1312"
dimethyl ketone                           1018          ethyl benzene                      1319
dimethyl phthalate                        1284          ethyl bromide                      1147
dimethyl sulfate                          1491          ethyl chloride                     1320
"1 ,4-dioxane                              1286          ethyl chloroacetate                1501"
diphenyl                                  1287          ethyl cyanoacetate                 1244
diphenylamine                             1288          ethylene                           1314
diphenyl ether                            1289          ethylene bromide                   1321
diphenyl ketone                           1290          ethylene chloride                  1264
diphenyl oxide                            1289          ethylene chlorohydrin              1212
disodium hydrogen phosphate               1285          ethylene diamine                   1322
disodium tetraborate                      1546          ethylenediaminetetra acetic acid   1323
DMAc                                      1955          ethylene glycol                    1324
DMF                                       1282          ethylene glycol diethyl ether      1325



w w w . S i m t e c h . c o m
9
                      Chemical            Number                         Chemical               Number
ethylene glycol dinitrate             1559          furfural                               1351
ethylene glycol monobutyl ether       2143          furfuryl alcohol                       1352
ethylene glycol monomethyl ether      2260          2-furylaldehyde                        1351
ethylene oxide                        1326          2-furylmethanol                        1352
ethyl ether                           1274          gallotannic acid                       1665
"2-ethyl-1-hexanol                     1316          gasoline, free of lead and aromatics   1113"
"ethyl methyl ketone                   1328          gasoline, Super                        1114"
N-ethyl-N-phenylbenzylamine           1124          gelatine                               1356
ethyne                                1024          Genapol X-80                           1353
fatty acids > C6                      1335          D(+)-glucose                           1259
fatty alcohol sulfates                1332          glutamic acid                          1358
fatty alcohols                        1331          glycerol                               1360
ferric chloride                       1298          glycine                                1051
fish liver oil                        1446          glycol                                 1324
fluorine                              1336          glycolic acid                          1359
fluoroboric acid                      1337          guajacol/cresol-mixture                1426
fluorosilicic acid                    1338          gypsum                                 1189
fluorspar                             1179          n-heptane                              1364
formaldehyde                          1340          hexachloroethane                       1584
formamide                             1341          hexadecanoic acid                      1578
formic acid                           1047          hexafluorosilicic acid                 1338
formic acid amide                     1341          hexahydro-2H-azepin-2-one              1195
formic acid ammonium salt             1065          hexahydrobenzene                       1246
formic acid methyl ester              1487          hexahydrotoluene                       1485
formic acid sodium salt               1531          n-hexane                               1365
"Freon 11(CFC-11, F-11)                1342          hexanedioic acid                       1029"
"Freon 112 (CFC-112, F-112)            1343          1 ,2,6-hexanetriol                     1366"
"Freon 113 (CFC-113, F-113)            1344          6-hexanolide                           1196"
"Freon 12 (CFC-12, F-12)               1345          honey                                  1370"
"Freon 21 (HCFC-21, F-21)              1346,         hydrazine                              1371"
"Freon 22 (CFC-22, F-22)               1347          hydrazine hydrate                      1372"
Frigen 11                             1342          hydrazinium hydroxide                  1372
Frigen 114                            1269          hydriodic acid                         1383
D-fructose                            1349          hydrobromic acid                       1151
"fruit juice, fermented                1565          hydrochloric acid                      1623"
"fruit juice, not fermented            1564          hydrocyanic acid                       1132"
fruit juices                          1348          hydrofluoric acid                      1339
fruit pulp                            1563          hydrogen                               1708
furan                                 1350          hydrogen chloride                      1225



w w w . S i m t e c h . c o m
10
               Chemical                     Number                         Chemical                Number
hydrogen cyanide                             1132          isopropanol                             1378
hydrogen peroxide                            1709          Isopropyl alcohol                       1378
hydrogen sulfide                             1635          isopropylbenzene                        1242
hydrogen superoxide                          1709          isopropyl ether                         1278
"hydrogen tetrafluoroborate                   1337          Isopropylmethylbenzene (o-, m- a. p-)   1252"
hydrogensulfite lye                          1131          isovalerone                             1277
hydroquinone                                 1373          kerosene                                1586
hydroxyacetic acid                           1359          lactic acid                             1493
hydroxyaluminum diacetate                    1034          lactic acid sodium salt                 1535
hydroxybenzene                               1588          D(+)-lactobiose                         1439
2-hydroxybenzoic acid                        1620          D(+)-lactose                            1439
2-hydroxybenzoic acid methyl ester           1490          lanolin                                 1440
hydroxybutanedioic acid                      1093          latex                                   1441
6-hydroxyhexanoic acid lactone               1196          lauric acid                             1442
hydroxylamine sulfate                        1374          lauric acid amyl ester                  1081
